Kingdom	Phylum	Order	Family	Class	Genus	V7
ASV2543	Bacteria	Proteobacteria	Betaproteobacteriales	Methylophilaceae	Gammaproteobacteria	OM43_clade	NA
ASV2544	Bacteria	Proteobacteria	Alteromonadales	Moritellaceae	Gammaproteobacteria	Moritella	NA
ASV2545	Bacteria	Proteobacteria	Kordiimonadales	Temperatibacteraceae	Alphaproteobacteria	Temperatibacter	NA
ASV2546	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NA	NA
ASV2547	Bacteria	Proteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Gammaproteobacteria	NA	NA
ASV2548	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2549	Bacteria	Proteobacteria	Bdellovibrionales	Bdellovibrionaceae	Deltaproteobacteria	Bdellovibrio	NA
ASV2550	Bacteria	Bacteroidetes	Flavobacteriales	Crocinitomicaceae	Bacteroidia	Crocinitomix	NA
ASV2551	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Flavobacterium	aquaticum/cucumis
ASV2552	Bacteria	Chlamydiae	Chlamydiales	Simkaniaceae	Chlamydiae	NA	NA
ASV2553	Bacteria	Proteobacteria	Arenicellales	Arenicellaceae	Gammaproteobacteria	Perspicuibacter	NA
ASV2554	Bacteria	Proteobacteria	Oceanospirillales	P13-46	Gammaproteobacteria	NA	NA
ASV2555	Bacteria	Proteobacteria	Alteromonadales	Shewanellaceae	Gammaproteobacteria	Shewanella	NA
ASV2556	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadaceae	Gammaproteobacteria	Pseudomonas	NA
ASV2557	Bacteria	Proteobacteria	SAR11_clade	Clade_II	Alphaproteobacteria	NA	NA
ASV2558	Bacteria	Verrucomicrobia	Verrucomicrobiales	Rubritaleaceae	Verrucomicrobiae	Rubritalea	NA
ASV2559	Bacteria	Bacteroidetes	Cytophagales	Flammeovirgaceae	Bacteroidia	NA	NA
ASV2560	Bacteria	Proteobacteria	Rhizobiales	Rhizobiaceae	Alphaproteobacteria	Pseudahrensia	NA
ASV2561	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
ASV2562	Bacteria	Proteobacteria	Steroidobacterales	Woeseiaceae	Gammaproteobacteria	Woeseia	NA
ASV2563	Bacteria	Bacteroidetes	Sphingobacteriales	NS11-12_marine_group	Bacteroidia	NA	NA
ASV2564	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Ulvibacter	NA
ASV2565	Bacteria	Bacteroidetes	Chitinophagales	Chitinophagaceae	Bacteroidia	NA	NA
ASV2566	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NS5_marine_group	NA
ASV2567	Bacteria	Bacteroidetes	Flavobacteriales	NS7_marine_group	Bacteroidia	NA	NA
ASV2568	Bacteria	Bacteroidetes	Cytophagales	Cyclobacteriaceae	Bacteroidia	NA	NA
ASV2569	Bacteria	Firmicutes	Bacillales	Bacillaceae	Bacilli	Caldibacillus	debilis
ASV2570	Bacteria	Proteobacteria	Thiotrichales	Thiotrichaceae	Gammaproteobacteria	Leucothrix	NA
ASV2571	Bacteria	Proteobacteria	Oceanospirillales	Marinomonadaceae	Gammaproteobacteria	Marinomonas	NA
ASV2572	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Lutimonas	NA
ASV2573	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2574	Bacteria	Actinobacteria	Microtrichales	Ilumatobacteraceae	Acidimicrobiia	Ilumatobacter	NA
ASV2575	Bacteria	Spirochaetes	Leptospirales	Leptospiraceae	Leptospirae	NA	NA
ASV2576	Bacteria	Proteobacteria	Betaproteobacteriales	Burkholderiaceae	Gammaproteobacteria	Actimicrobium	NA
ASV2577	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Aurantivirga	NA
ASV2578	Bacteria	Proteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deltaproteobacteria	NA	NA
ASV2579	Bacteria	Firmicutes	Clostridiales	Family_XVIII	Clostridia	Symbiobacterium	ostreiconchae
ASV2580	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	SAR92_clade	NA
ASV2581	Bacteria	Firmicutes	Bacillales	Bacillaceae	Bacilli	Anaerobacillus	NA
ASV2582	Bacteria	Proteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deltaproteobacteria	NA	NA
ASV2583	Bacteria	Proteobacteria	Arenicellales	Arenicellaceae	Gammaproteobacteria	Arenicella	NA
ASV2584	Bacteria	Proteobacteria	Nitrosococcales	Methylophagaceae	Gammaproteobacteria	NA	NA
ASV2585	Bacteria	Proteobacteria	Cellvibrionales	Cellvibrionaceae	Gammaproteobacteria	Candidatus_Endobugula	NA
ASV2586	Bacteria	Proteobacteria	Oceanospirillales	Pseudohongiellaceae	Gammaproteobacteria	Pseudohongiella	NA
ASV2587	Bacteria	Verrucomicrobia	Opitutales	Puniceicoccaceae	Verrucomicrobiae	Lentimonas	NA
ASV2588	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
ASV2589	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2590	Bacteria	Proteobacteria	SAR11_clade	Clade_IV	Alphaproteobacteria	NA	NA
ASV2591	Bacteria	Proteobacteria	Oceanospirillales	SS1-B-06-26	Gammaproteobacteria	NA	NA
ASV2592	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Loktanella	NA
ASV2593	Bacteria	Proteobacteria	Francisellales	Francisellaceae	Gammaproteobacteria	Allofrancisella	NA
ASV2594	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Polaribacter_2	NA
ASV2595	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Ulvibacter	NA
ASV2596	Bacteria	Proteobacteria	Oceanospirillales	Kangiellaceae	Gammaproteobacteria	NA	NA
ASV2597	Bacteria	Proteobacteria	Steroidobacterales	Woeseiaceae	Gammaproteobacteria	Woeseia	NA
ASV2598	Bacteria	Bacteroidetes	Flavobacteriales	Crocinitomicaceae	Bacteroidia	Fluviicola	NA
ASV2599	Bacteria	Proteobacteria	Rickettsiales	AB1	Alphaproteobacteria	NA	NA
ASV2600	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	Oleispira	NA
ASV2601	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadaceae	Gammaproteobacteria	Pseudomonas	stutzeri/xanthomarina/zhaodongensis
ASV2602	Bacteria	Proteobacteria	Alteromonadales	Idiomarinaceae	Gammaproteobacteria	Idiomarina	loihiensis
ASV2603	Bacteria	Bacteroidetes	Cytophagales	Cyclobacteriaceae	Bacteroidia	Fabibacter	NA
ASV2604	Bacteria	Bacteroidetes	Cytophagales	Flammeovirgaceae	Bacteroidia	NA	NA
ASV2605	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
ASV2606	Bacteria	Proteobacteria	Francisellales	Francisellaceae	Gammaproteobacteria	NA	NA
ASV2607	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
ASV2608	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	NA	NA
ASV2609	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
ASV2610	Bacteria	Proteobacteria	Cellvibrionales	Halieaceae	Gammaproteobacteria	OM60(NOR5)_clade	NA
ASV2611	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	Oleispira	NA
ASV2612	Bacteria	Proteobacteria	Francisellales	Francisellaceae	Gammaproteobacteria	NA	NA
ASV2613	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Maribacter	NA
ASV2614	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	Portibacter	NA
ASV2615	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Roseobacter_clade_NAC11-7_lineage	NA
ASV2616	Bacteria	Proteobacteria	Cellvibrionales	Halieaceae	Gammaproteobacteria	Halioglobus	NA
ASV2617	Bacteria	Proteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Gammaproteobacteria	NA	NA
ASV2618	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
ASV2619	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2620	Bacteria	Proteobacteria	Rhizobiales	Xanthobacteraceae	Alphaproteobacteria	Rhodopseudomonas	NA
ASV2621	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2622	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2623	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Arcticiflavibacter	NA
ASV2624	Bacteria	Proteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deltaproteobacteria	Peredibacter	NA
ASV2625	Bacteria	Proteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Gammaproteobacteria	Granulosicoccus	NA
ASV2626	Bacteria	Proteobacteria	Rhodospirillales	Magnetospiraceae	Alphaproteobacteria	Magnetovibrio	NA
ASV2627	Bacteria	Proteobacteria	Arenicellales	Arenicellaceae	Gammaproteobacteria	HTCC5015	NA
ASV2628	Bacteria	Proteobacteria	Methylococcales	Cycloclasticaceae	Gammaproteobacteria	Cycloclasticus	NA
ASV2629	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2630	Bacteria	Proteobacteria	Kordiimonadales	Kordiimonadaceae	Alphaproteobacteria	Kordiimonas	NA
ASV2631	Bacteria	Proteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deltaproteobacteria	Halobacteriovorax	NA
ASV2632	Bacteria	Proteobacteria	Myxococcales	VHS-B3-70	Deltaproteobacteria	NA	NA
ASV2633	Bacteria	Proteobacteria	Betaproteobacteriales	Burkholderiaceae	Gammaproteobacteria	Rhodoferax	NA
ASV2634	Bacteria	Proteobacteria	Alteromonadales	Idiomarinaceae	Gammaproteobacteria	Idiomarina	aquimaris/homiensis
ASV2635	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Maribacter	aquivivus
ASV2636	Bacteria	Proteobacteria	Methylococcales	Cycloclasticaceae	Gammaproteobacteria	Cycloclasticus	NA
ASV2637	Bacteria	Bacteroidetes	Flavobacteriales	Crocinitomicaceae	Bacteroidia	Fluviicola	NA
ASV2638	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2639	Bacteria	Proteobacteria	Oceanospirillales	Halomonadaceae	Gammaproteobacteria	Halomonas	NA
ASV2640	Bacteria	Proteobacteria	Cellvibrionales	Cellvibrionaceae	Gammaproteobacteria	NA	NA
ASV2641	Bacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Actinobacteria	Thermopolyspora	NA
ASV2642	Bacteria	Proteobacteria	SAR11_clade	Clade_II	Alphaproteobacteria	NA	NA
ASV2643	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2644	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2645	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Aquimarina	NA
ASV2646	Bacteria	Proteobacteria	Nitrosococcales	Nitrosococcaceae	Gammaproteobacteria	NA	NA
ASV2647	Bacteria	Epsilonbacteraeota	Campylobacterales	Sulfurovaceae	Campylobacteria	Sulfurovum	NA
ASV2648	Bacteria	Proteobacteria	Cellvibrionales	Cellvibrionaceae	Gammaproteobacteria	Candidatus_Endobugula	NA
ASV2649	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Jejudonia	NA
ASV2650	Bacteria	Proteobacteria	Alteromonadales	Shewanellaceae	Gammaproteobacteria	Psychrobium	NA
ASV2651	Bacteria	Verrucomicrobia	Opitutales	Puniceicoccaceae	Verrucomicrobiae	Lentimonas	NA
ASV2652	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2653	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NS3a_marine_group	NA
ASV2654	Bacteria	Planctomycetes	Pirellulales	Pirellulaceae	Planctomycetacia	Blastopirellula	NA
ASV2655	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2656	Bacteria	Proteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Gammaproteobacteria	Granulosicoccus	NA
ASV2657	Bacteria	Proteobacteria	Micavibrionales	Micavibrionaceae	Alphaproteobacteria	NA	NA
ASV2658	Bacteria	Proteobacteria	Oceanospirillales	Nitrincolaceae	Gammaproteobacteria	NA	NA
ASV2659	Bacteria	Kiritimatiellaeota	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiellae	R76-B128	NA
ASV2660	Bacteria	Proteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Gammaproteobacteria	Granulosicoccus	NA
ASV2661	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Flavirhabdus	NA
ASV2662	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2663	Bacteria	Proteobacteria	Betaproteobacteriales	Burkholderiaceae	Gammaproteobacteria	Undibacterium	NA
ASV2664	Bacteria	Proteobacteria	Oceanospirillales	Halomonadaceae	Gammaproteobacteria	Halomonas	glaciei
ASV2665	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2666	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Leeuwenhoekiella	NA
ASV2667	Bacteria	Proteobacteria	Caulobacterales	Hyphomonadaceae	Alphaproteobacteria	Robiginitomaculum	NA
ASV2668	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	Rubidimonas	NA
ASV2669	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Roseobacter_clade_CHAB-I-5_lineage	NA
ASV2670	Bacteria	Proteobacteria	Parvibaculales	PS1_clade	Alphaproteobacteria	NA	NA
ASV2671	Bacteria	Proteobacteria	Rhodospirillales	Magnetospiraceae	Alphaproteobacteria	Magnetospira	NA
ASV2672	Bacteria	Bacteroidetes	Flavobacteriales	NS9_marine_group	Bacteroidia	NA	NA
ASV2673	Bacteria	Proteobacteria	Cellvibrionales	Cellvibrionaceae	Gammaproteobacteria	NA	NA
ASV2674	Bacteria	Hydrogenedentes	Hydrogenedentiales	Hydrogenedensaceae	Hydrogenedentia	NA	NA
ASV2675	Bacteria	Proteobacteria	Oceanospirillales	Nitrincolaceae	Gammaproteobacteria	Profundimonas	NA
ASV2676	Bacteria	Proteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Gammaproteobacteria	IS-44	NA
ASV2677	Bacteria	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomycetacia	NA	NA
ASV2678	Bacteria	Proteobacteria	Immundisolibacterales	Immundisolibacteraceae	Gammaproteobacteria	NA	NA
ASV2679	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadaceae	Gammaproteobacteria	Pseudomonas	fluorescens/poae
ASV2680	Bacteria	Proteobacteria	Alteromonadales	Shewanellaceae	Gammaproteobacteria	Shewanella	arctica/frigidimarina/livingstonensis/vesiculosa
ASV2681	Bacteria	Proteobacteria	Alteromonadales	Moritellaceae	Gammaproteobacteria	Moritella	NA
ASV2682	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NA	NA
ASV2683	Bacteria	Bacteroidetes	Cytophagales	Cyclobacteriaceae	Bacteroidia	Reichenbachiella	NA
ASV2684	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NA	NA
ASV2685	Bacteria	Proteobacteria	Salinisphaerales	Solimonadaceae	Gammaproteobacteria	Oceanococcus	NA
ASV2686	Bacteria	Proteobacteria	SAR11_clade	Clade_I	Alphaproteobacteria	Clade_Ia	NA
ASV2687	Bacteria	Proteobacteria	Oceanospirillales	Nitrincolaceae	Gammaproteobacteria	Profundimonas	NA
ASV2688	Bacteria	Bacteroidetes	Sphingobacteriales	Lentimicrobiaceae	Bacteroidia	NA	NA
ASV2689	Bacteria	Lentisphaerae	Lentisphaerales	Lentisphaeraceae	Lentisphaeria	Lentisphaera	profundi
ASV2690	Bacteria	Bacteroidetes	Chitinophagales	Chitinophagaceae	Bacteroidia	Ferruginibacter	NA
ASV2691	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2692	Bacteria	Proteobacteria	Alteromonadales	Moritellaceae	Gammaproteobacteria	Moritella	NA
ASV2693	Bacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Actinobacteria	Nocardioides	NA
ASV2694	Bacteria	Bacteroidetes	Flavobacteriales	NS9_marine_group	Bacteroidia	NA	NA
ASV2695	Bacteria	Verrucomicrobia	Verrucomicrobiales	Rubritaleaceae	Verrucomicrobiae	Roseibacillus	NA
ASV2696	Bacteria	Proteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria	Serratia	proteamaculans/quinivorans
ASV2697	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Glaciecola	NA
ASV2698	Bacteria	Bacteroidetes	Cytophagales	Cyclobacteriaceae	Bacteroidia	NA	NA
ASV2699	Bacteria	Proteobacteria	Cellvibrionales	Spongiibacteraceae	Gammaproteobacteria	BD1-7_clade	NA
ASV2700	Bacteria	Proteobacteria	Thiotrichales	Thiotrichaceae	Gammaproteobacteria	Leucothrix	NA
ASV2701	Bacteria	Proteobacteria	Alteromonadales	Shewanellaceae	Gammaproteobacteria	Shewanella	NA
ASV2702	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Alkalimarinus	NA
ASV2703	Bacteria	Proteobacteria	Cellvibrionales	Cellvibrionaceae	Gammaproteobacteria	NA	NA
ASV2704	Bacteria	Proteobacteria	Oceanospirillales	Kangiellaceae	Gammaproteobacteria	Aliikangiella	NA
ASV2705	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
ASV2706	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2707	Bacteria	Proteobacteria	Bdellovibrionales	Bdellovibrionaceae	Deltaproteobacteria	OM27_clade	NA
ASV2708	Bacteria	Actinobacteria	Microtrichales	Ilumatobacteraceae	Acidimicrobiia	Ilumatobacter	NA
ASV2709	Bacteria	Bacteroidetes	Cytophagales	Cyclobacteriaceae	Bacteroidia	NA	NA
ASV2710	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	C1-B045	NA
ASV2711	Bacteria	Proteobacteria	Oceanospirillales	Kangiellaceae	Gammaproteobacteria	NA	NA
ASV2712	Bacteria	Proteobacteria	Alteromonadales	Psychromonadaceae	Gammaproteobacteria	Psychromonas	NA
ASV2713	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Lutibacter	NA
ASV2714	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NS4_marine_group	NA
ASV2715	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Polaribacter_2	NA
ASV2716	Bacteria	Proteobacteria	Oceanospirillales	Kangiellaceae	Gammaproteobacteria	Aliikangiella	NA
ASV2717	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2718	Bacteria	Proteobacteria	Alteromonadales	Pseudoalteromonadaceae	Gammaproteobacteria	Pseudoalteromonas	NA
ASV2719	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2720	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	SAR92_clade	NA
ASV2721	Bacteria	Verrucomicrobia	Verrucomicrobiales	DEV007	Verrucomicrobiae	NA	NA
ASV2722	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2723	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2724	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2725	Bacteria	Verrucomicrobia	Pedosphaerales	Pedosphaeraceae	Verrucomicrobiae	NA	NA
ASV2726	Bacteria	Proteobacteria	Myxococcales	Nannocystaceae	Deltaproteobacteria	NA	NA
ASV2727	Bacteria	Bacteroidetes	Flavobacteriales	Weeksellaceae	Bacteroidia	Cloacibacterium	normanense
ASV2728	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
ASV2729	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	NA	NA
ASV2730	Bacteria	Proteobacteria	Cellvibrionales	Cellvibrionaceae	Gammaproteobacteria	Saccharophagus	NA
ASV2731	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Croceibacter	atlanticus
ASV2732	Bacteria	Bacteroidetes	Chitinophagales	Saprospiraceae	Bacteroidia	NA	NA
ASV2733	Bacteria	Proteobacteria	Alteromonadales	Psychromonadaceae	Gammaproteobacteria	Psychromonas	NA
ASV2734	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
ASV2735	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2736	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	Porticoccus	NA
ASV2737	Bacteria	Proteobacteria	Cellvibrionales	Spongiibacteraceae	Gammaproteobacteria	NA	NA
ASV2738	Bacteria	Planctomycetes	Pirellulales	Pirellulaceae	Planctomycetacia	Rhodopirellula	NA
ASV2739	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Polaribacter_1	NA
ASV2740	Bacteria	Firmicutes	Bacillales	Staphylococcaceae	Bacilli	Staphylococcus	aureus/pasteuri/warneri
ASV2741	Bacteria	Proteobacteria	Betaproteobacteriales	Burkholderiaceae	Gammaproteobacteria	Pelomonas	aquatica/puraquae
ASV2742	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Pseudofulvibacter	NA
ASV2743	Bacteria	Proteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Gammaproteobacteria	IS-44	NA
ASV2744	Bacteria	Proteobacteria	Oceanospirillales	Kangiellaceae	Gammaproteobacteria	Aliikangiella	NA
ASV2745	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2746	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	NA	NA
ASV2747	Bacteria	Bacteroidetes	Cytophagales	Cyclobacteriaceae	Bacteroidia	Ekhidna	NA
ASV2748	Bacteria	Bacteroidetes	Flavobacteriales	Crocinitomicaceae	Bacteroidia	Crocinitomix	NA
ASV2749	Bacteria	Proteobacteria	Caulobacterales	Hyphomonadaceae	Alphaproteobacteria	Robiginitomaculum	NA
ASV2750	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NS3a_marine_group	NA
ASV2751	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Winogradskyella	NA
ASV2752	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	NA	NA
ASV2753	Bacteria	Proteobacteria	Thalassobaculales	Nisaeaceae	Alphaproteobacteria	OM75_clade	NA
ASV2754	Bacteria	Chlamydiae	Chlamydiales	Simkaniaceae	Chlamydiae	Candidatus_Fritschea	NA
ASV2755	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2756	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
ASV2757	Bacteria	Planctomycetes	Phycisphaerales	Phycisphaeraceae	Phycisphaerae	SM1A02	NA
ASV2758	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	NA	NA
ASV2759	Bacteria	Proteobacteria	Caulobacterales	Hyphomonadaceae	Alphaproteobacteria	Hellea	NA
ASV2760	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2761	Bacteria	Proteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deltaproteobacteria	Halobacteriovorax	NA
ASV2762	Bacteria	Proteobacteria	Rickettsiales	AB1	Alphaproteobacteria	NA	NA
ASV2763	Bacteria	Proteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	Gammaproteobacteria	Granulosicoccus	NA
ASV2764	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Loktanella	NA
ASV2765	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NA	NA
ASV2766	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2767	Bacteria	Proteobacteria	SAR11_clade	Clade_I	Alphaproteobacteria	Clade_Ia	NA
ASV2768	Bacteria	Verrucomicrobia	Verrucomicrobiales	DEV007	Verrucomicrobiae	NA	NA
ASV2769	Bacteria	Proteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deltaproteobacteria	NA	NA
ASV2770	Bacteria	Proteobacteria	Rickettsiales	Rickettsiaceae	Alphaproteobacteria	NA	NA
ASV2771	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
ASV2772	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
ASV2773	Bacteria	Proteobacteria	Myxococcales	P3OB-42	Deltaproteobacteria	NA	NA
ASV2774	Bacteria	Proteobacteria	Tenderiales	Tenderiaceae	Gammaproteobacteria	Candidatus_Tenderia	NA
ASV2775	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Aurantivirga	NA
ASV2776	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
ASV2777	Bacteria	Proteobacteria	Rhodospirillales	AEGEAN-169_marine_group	Alphaproteobacteria	NA	NA
ASV2778	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
