ASVs	Kingdom	Phylum	Order	Family	Class	Genus	V7
53	ASV53	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Pseudofulvibacter	NA
54	ASV54	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	psychrerythraea
55	ASV55	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
56	ASV56	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	C1-B045	NA
57	ASV57	Bacteria	Verrucomicrobia	Opitutales	Puniceicoccaceae	Verrucomicrobiae	Lentimonas	NA
58	ASV58	Bacteria	Proteobacteria	Cellvibrionales	Halieaceae	Gammaproteobacteria	OM60(NOR5)_clade	NA
59	ASV59	Bacteria	Proteobacteria	Methylococcales	Cycloclasticaceae	Gammaproteobacteria	Cycloclasticus	NA
60	ASV60	Bacteria	Proteobacteria	Alteromonadales	Pseudoalteromonadaceae	Gammaproteobacteria	Pseudoalteromonas	agarivorans/distincta/elyakovii/flavipulchra/haloplanktis/nigrifaciens/paragorgicola
61	ASV61	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NS5_marine_group	NA
62	ASV62	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
63	ASV63	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Polaribacter_1	NA
64	ASV64	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
65	ASV65	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Kordia	NA
66	ASV66	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Planktomarina	NA
67	ASV67	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Sulfitobacter	NA
68	ASV68	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
69	ASV69	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
70	ASV70	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	Oleispira	NA
71	ASV71	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NA	NA
72	ASV72	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	hornerae
73	ASV73	Bacteria	Proteobacteria	Micavibrionales	Micavibrionaceae	Alphaproteobacteria	NA	NA
74	ASV74	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
75	ASV75	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
76	ASV76	Bacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Actinobacteria	Candidatus_Aquiluna	NA
77	ASV77	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
78	ASV78	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NA	NA
79	ASV79	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	NA	NA
80	ASV80	Bacteria	Proteobacteria	Arenicellales	Arenicellaceae	Gammaproteobacteria	HTCC5015	NA
81	ASV81	Bacteria	Verrucomicrobia	Verrucomicrobiales	Rubritaleaceae	Verrucomicrobiae	Luteolibacter	NA
82	ASV82	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
83	ASV83	Bacteria	Proteobacteria	Immundisolibacterales	Immundisolibacteraceae	Gammaproteobacteria	NA	NA
84	ASV84	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	C1-B045	NA
85	ASV85	Bacteria	Epsilonbacteraeota	Campylobacterales	Arcobacteraceae	Campylobacteria	Arcobacter	NA
86	ASV86	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
87	ASV87	Bacteria	Bacteroidetes	Flavobacteriales	Crocinitomicaceae	Bacteroidia	Fluviicola	NA
88	ASV88	Bacteria	Proteobacteria	Betaproteobacteriales	Burkholderiaceae	Gammaproteobacteria	RS62_marine_group	NA
89	ASV89	Bacteria	Proteobacteria	Thiomicrospirales	Thioglobaceae	Gammaproteobacteria	SUP05_cluster	NA
90	ASV90	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Tenacibaculum	NA
91	ASV91	Bacteria	Proteobacteria	Methylococcales	Cycloclasticaceae	Gammaproteobacteria	Cycloclasticus	NA
92	ASV92	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Loktanella	salsilacus
93	ASV93	Bacteria	Proteobacteria	Oceanospirillales	Nitrincolaceae	Gammaproteobacteria	NA	NA
94	ASV94	Bacteria	Proteobacteria	Oceanospirillales	P13-46	Gammaproteobacteria	NA	NA
95	ASV95	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	SAR92_clade	NA
96	ASV96	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
97	ASV97	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Sulfitobacter	NA
98	ASV98	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
99	ASV99	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	C1-B045	NA
100	ASV100	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
101	ASV101	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	Reinekea	NA
102	ASV102	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
103	ASV103	Bacteria	Proteobacteria	Oceanospirillales	Nitrincolaceae	Gammaproteobacteria	NA	NA
104	ASV104	Bacteria	Proteobacteria	Oceanospirillales	P13-46	Gammaproteobacteria	NA	NA
105	ASV105	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Polaribacter_1	NA
106	ASV106	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
107	ASV107	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Gammaproteobacteria	Marinicella	NA
108	ASV108	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Ulvibacter	NA
109	ASV109	Bacteria	Epsilonbacteraeota	Campylobacterales	Arcobacteraceae	Campylobacteria	Arcobacter	NA
110	ASV110	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	SAR92_clade	NA
111	ASV111	Bacteria	Proteobacteria	SAR11_clade	Clade_IV	Alphaproteobacteria	NA	NA
112	ASV112	Bacteria	Proteobacteria	Nitrosococcales	Methylophagaceae	Gammaproteobacteria	NA	NA
113	ASV113	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Ulvibacter	NA
114	ASV114	Bacteria	Proteobacteria	Oceanospirillales	P13-46	Gammaproteobacteria	NA	NA
115	ASV115	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Aquibacter	NA
116	ASV116	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Kordia	NA
117	ASV117	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Polaribacter	irgensii
118	ASV118	Bacteria	Proteobacteria	Alteromonadales	Pseudoalteromonadaceae	Gammaproteobacteria	Pseudoalteromonas	agarivorans/atlantica/carrageenovora/distincta/elyakovii/espejiana/flavipulchra/haloplanktis/hodoensis/issachenkonii/nigrifaciens/paragorgicola/telluritireducens/tetraodonis/undina
119	ASV119	Bacteria	Bacteroidetes	Flavobacteriales	NS9_marine_group	Bacteroidia	NA	NA
120	ASV120	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	Oleibacter	NA
121	ASV121	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Ulvibacter	NA
122	ASV122	Bacteria	Proteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deltaproteobacteria	NA	NA
123	ASV123	Bacteria	Proteobacteria	Alteromonadales	Psychromonadaceae	Gammaproteobacteria	Psychromonas	NA
124	ASV124	Bacteria	Bacteroidetes	Flavobacteriales	NS9_marine_group	Bacteroidia	NA	NA
125	ASV125	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Roseobacter_clade_NAC11-7_lineage	NA
126	ASV126	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
127	ASV127	Bacteria	Proteobacteria	Alteromonadales	Moritellaceae	Gammaproteobacteria	Moritella	NA
128	ASV128	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
129	ASV129	Bacteria	Proteobacteria	Alteromonadales	Colwelliaceae	Gammaproteobacteria	Colwellia	NA
130	ASV130	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	NS5_marine_group	NA
131	ASV131	Bacteria	Proteobacteria	Oceanospirillales	P13-46	Gammaproteobacteria	NA	NA
132	ASV132	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	Oleispira	NA
133	ASV133	Bacteria	Proteobacteria	Oceanospirillales	Saccharospirillaceae	Gammaproteobacteria	NA	NA
134	ASV134	Bacteria	Proteobacteria	Pseudomonadales	Pseudomonadaceae	Gammaproteobacteria	Pseudomonas	NA
135	ASV135	Bacteria	Proteobacteria	Cellvibrionales	Porticoccaceae	Gammaproteobacteria	C1-B045	NA
136	ASV136	Bacteria	Proteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria	Ascidiaceihabitans	NA
137	ASV137	Bacteria	Verrucomicrobia	Verrucomicrobiales	Rubritaleaceae	Verrucomicrobiae	Roseibacillus	NA
138	ASV138	Bacteria	Proteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria	Paraglaciecola	NA
139	ASV139	Bacteria	Proteobacteria	Oceanospirillales	Nitrincolaceae	Gammaproteobacteria	NA	NA
140	ASV140	Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriaceae	Bacteroidia	Arcticiflavibacter	NA
141	ASV141	Bacteria	Bacteroidetes	Flavobacteriales	Cryomorphaceae	Bacteroidia	NA	NA
